age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
24,FW,13,958,4,3,4,3.6,3.6,53,38,0.38,0.28,9,7,4,2,392,86.2,20,49,63.3,38,1.22,0.11,5.64,0.38,48.4,25.0,0,7,0,4,26,0,0.0,0,0.0,0,0.0,0.0,65000000.0,Luis Díaz,2021-2022,19635938.272969246,65000000.0,-45364061.727030754,-69.79086419543194
27,MF,20,1097,2,2,2,1.9,1.9,28,74,0.16,0.16,19,9,12,16,563,74.0,24,2,0.0,26,0.74,0.08,3.61,0.25,37.5,29.2,1,9,0,15,14,0,0.0,0,0.0,0,0.0,0.0,68000000.0,Christian Eriksen,2019-2020,23160879.864923224,68000000.0,-44839120.135076776,-65.9398825515835
23,MF,27,1987,3,1,3,1.3,1.3,28,111,0.14,0.05,38,23,28,52,1377,90.6,11,13,46.2,27,0.32,0.11,1.58,0.5,68.0,50.0,13,8,1,132,12,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Aurélien Tchouaméni,2023-2024,55243297.61360851,100000000.0,-44756702.38639149,-44.75670238639149
28,MF,33,2699,4,1,4,3.3,3.3,8,97,0.13,0.03,152,75,46,58,1098,82.4,13,22,50.0,45,0.47,0.09,1.1,0.07,56.3,67.8,9,48,0,120,26,0,0.0,0,0.0,0,0.0,0.0,55000000.0,João Palhinha,2023-2024,10709475.521986324,55000000.0,-44290524.47801368,-80.52822632366123
22,MF,27,1962,6,5,6,3.7,3.7,103,148,0.28,0.23,65,48,36,18,995,80.1,38,119,56.3,43,0.6,0.14,4.24,0.41,38.9,0.0,3,23,0,27,58,0,0.0,0,0.0,0,0.0,0.0,65000000.0,Naby Keïta,2017-2018,20831104.51194873,65000000.0,-44168895.488051265,-67.95214690469426
25,MF,24,1705,5,5,5,3.7,3.7,45,137,0.26,0.26,37,23,44,11,920,86.8,19,18,66.7,42,0.69,0.12,2.8,0.74,65.3,41.0,2,28,0,35,7,0,0.0,0,0.0,0,0.0,0.0,70000000.0,Leon Goretzka,2020-2021,25957988.005367033,70000000.0,-44042011.99463297,-62.917159992332806
25,MF,37,2956,12,11,12,3.4,3.4,90,140,0.37,0.33,71,42,29,28,1097,81.0,44,66,59.1,49,0.67,0.24,2.77,0.55,37.3,41.9,3,37,0,36,51,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Marcos Llorente,2020-2021,35962653.31712815,80000000.0,-44037346.68287185,-55.046683353589806
21,GK,37,3330,0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,1,23,979,79.5,0,1,100.0,0,0.0,0.0,0.22,0.0,88.9,0.0,0,1,2,1043,0,38,1.03,88,71.4,14,37.8,33.3,60000000.0,Gianluigi Donnarumma,2020-2021,16517149.719602952,60000000.0,-43482850.28039705,-72.47141713399509
24,MF,19,1618,0,0,0,0.7,0.7,14,57,0.0,0.0,60,32,42,54,746,79.8,2,17,64.7,14,0.22,0.0,1.0,0.11,56.8,40.0,8,28,1,97,15,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Wilfred Ndidi,2021-2022,16817206.589769743,60000000.0,-43182793.41023026,-71.97132235038376
25,MF,20,1596,0,1,0,0.7,0.7,6,93,0.0,0.06,54,25,24,18,786,80.9,9,12,58.3,15,0.17,0.0,1.69,0.23,37.0,42.1,9,28,0,65,16,0,0.0,0,0.0,0,0.0,0.0,50000000.0,Kalvin Phillips,2021-2022,6894721.993466919,50000000.0,-43105278.00653308,-86.21055601306615
25,FW,29,2267,11,4,6,15.2,10.5,19,40,0.44,0.16,9,8,3,20,298,69.6,34,21,42.9,67,0.91,0.09,2.42,0.32,47.4,16.7,1,3,1,22,21,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Mauro Icardi,2018-2019,37126470.974192165,80000000.0,-42873529.025807835,-53.591911282259794
26,DF,30,2567,0,0,0,0.3,0.3,27,124,0.0,0.0,58,31,44,66,1910,90.2,4,11,63.6,10,0.04,0.0,1.05,0.21,50.9,50.0,10,18,1,164,7,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Fabinho,2020-2021,17327480.868258666,60000000.0,-42672519.13174133,-71.12086521956888
21,MF,36,2890,6,5,5,6.3,5.5,131,233,0.19,0.16,75,35,31,14,1549,81.5,87,81,53.1,81,0.78,0.06,5.26,0.44,36.8,36.2,2,38,0,22,41,0,0.0,0,0.0,0,0.0,0.0,75000000.0,Mason Mount,2020-2021,32573299.89927972,75000000.0,-42426700.10072028,-56.56893346762703
24,FW,25,1982,15,3,12,15.4,11.4,34,23,0.68,0.14,9,5,2,18,194,66.9,23,40,40.0,85,1.63,0.14,2.45,0.36,44.0,50.0,1,4,0,20,28,0,0.0,0,0.0,0,0.0,0.0,100000000.0,Victor Osimhen,2023-2024,57910427.41862685,100000000.0,-42089572.58137315,-42.08957258137315
20,FW,33,2334,10,6,10,10.7,10.7,74,65,0.39,0.23,24,12,3,24,533,73.1,38,87,48.3,84,1.5,0.12,3.12,0.5,38.9,24.1,0,27,0,22,46,0,0.0,0,0.0,0,0.0,0.0,80000000.0,Marcus Rashford,2018-2019,38076887.19075644,80000000.0,-41923112.80924356,-52.40389101155445
25,DF,10,496,0,0,0,0.1,0.1,7,15,0.0,0.0,7,3,4,19,297,90.3,0,1,0.0,2,0.36,0.0,0.36,0.18,45.8,66.7,3,1,1,61,1,0,0.0,0,0.0,0,0.0,0.0,60000000.0,Éder Militão,2023-2024,18418850.72029894,60000000.0,-41581149.27970106,-69.30191546616844
28,FW,26,1589,8,0,7,6.6,5.8,29,19,0.45,0.0,2,1,0,20,231,70.6,24,25,52.0,42,0.79,0.17,2.83,0.28,52.0,20.0,1,10,0,21,25,0,0.0,0,0.0,0,0.0,0.0,70000000.0,Romelu Lukaku,2021-2022,28812559.056740202,70000000.0,-41187440.9432598,-58.83920134751399
26,MF,37,3156,2,0,1,1.4,0.6,30,323,0.06,0.0,76,38,64,38,2785,88.9,29,27,55.6,18,0.17,0.06,2.08,0.14,36.4,46.9,7,39,1,106,31,0,0.0,0,0.0,0,0.0,0.0,65000000.0,Jorginho,2018-2019,24304721.591127075,65000000.0,-40695278.408872925,-62.60812062903527
