age,pos,Matches Played,total_minutes,Goals,Assists,Non Penalty Goals,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,Interceptions,Clearances,Passes Completed,Pass completion %,Key passes,Take ons attempted,% Successful take-ons,Total Shots,Shots p 90,Goals per shot,Shot creating actions p 90,Goal creating actions p 90,% Aerial Duels won,% Dribbles tackled,Shots blocked,Passes blocked,Errors made,touches_def_pen,Possessions lost,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,market_value_in_eur,player,season,predicted_value,actual_value,value_gap,value_gap_pct
27,FW,36,2339,11,3,11,8.1,8.1,44,51,0.42,0.12,40,29,3,9,662,82.9,25,53,52.8,47,0.88,0.23,3.15,0.38,42.0,42.9,0,15,0,11,51,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Grégoire Defrel,2018-2019,23175364.54946096,12000000.0,11175364.549460959,93.12803791217465
25,FW,38,3412,16,1,15,15.5,13.8,71,139,0.42,0.03,41,28,19,46,846,67.9,43,113,55.8,103,1.19,0.15,2.82,0.26,44.9,0.0,6,21,0,60,80,0,0.0,0,0.0,0,0.0,0.0,20000000.0,Gerard Moreno,2017-2018,31090011.039900623,20000000.0,11090011.039900623,55.45005519950311
22,DF,27,2369,4,2,4,3.6,3.6,15,68,0.15,0.08,22,16,12,98,1270,88.2,5,9,77.8,18,0.3,0.22,0.53,0.08,63.8,70.0,18,5,1,206,5,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Jake O'Brien,2023-2024,22955594.049520753,12000000.0,10955594.049520753,91.29661707933961
28,GK,37,3330,0,0,0,0.0,0.0,0,1,0.0,0.0,1,0,0,12,938,75.8,1,1,100.0,0,0.0,0.0,0.08,0.0,80.0,50.0,0,1,2,942,0,28,0.76,98,80.0,15,40.5,0.0,13000000.0,Brice Samba,2022-2023,23949616.212951798,13000000.0,10949616.212951798,84.22781702270615
24,FW,34,1809,5,3,5,8.2,8.2,58,76,0.25,0.15,19,11,5,3,515,73.8,37,75,48.0,68,1.14,0.07,4.23,0.3,25.0,0.0,2,23,0,3,48,0,0.0,0,0.0,0,0.0,0.0,7500000.0,Gianluca Caprari,2017-2018,18420723.87767405,7500000.0,10920723.87767405,145.60965170232066
27,MF,33,2668,2,5,2,3.8,2.9,41,225,0.07,0.17,44,27,29,34,1424,78.4,56,37,62.2,48,0.44,0.04,3.64,0.37,50.0,34.4,4,24,1,45,28,0,0.0,0,0.0,0,0.0,0.0,7500000.0,Clément Grenier,2018-2019,18368364.207845736,7500000.0,10868364.207845736,144.91152277127648
24,FW,30,2066,10,5,10,8.0,8.0,100,67,0.44,0.22,11,6,14,3,568,71.6,30,89,52.8,60,0.96,0.17,3.79,0.74,14.3,15.4,0,16,0,4,60,0,0.0,0,0.0,0,0.0,0.0,25000000.0,Gerard Deulofeu,2018-2019,35797466.51244309,25000000.0,10797466.512443088,43.18986604977235
23,MF,30,1681,10,4,10,7.4,7.4,69,59,0.54,0.21,35,20,15,8,307,66.5,21,83,44.6,55,1.39,0.18,3.05,0.59,26.3,20.8,2,28,0,15,26,0,0.0,0,0.0,0,0.0,0.0,12000000.0,Benito Raman,2018-2019,22703150.578182533,12000000.0,10703150.578182533,89.19292148485445
26,FW,37,2851,4,6,4,5.1,5.1,70,69,0.13,0.19,30,16,14,8,775,82.3,27,69,59.4,29,0.47,0.14,2.05,0.32,34.6,29.0,2,11,0,14,44,0,0.0,0,0.0,0,0.0,0.0,2500000.0,Emmanuel Gyasi,2020-2021,13163161.899621507,2500000.0,10663161.899621507,426.52647598486027
24,DF,30,2547,1,1,1,1.9,1.9,14,76,0.04,0.04,27,11,15,99,1842,89.6,7,8,50.0,12,0.14,0.08,0.74,0.04,56.1,64.0,21,14,2,291,3,0,0.0,0,0.0,0,0.0,0.0,18000000.0,Sam Beukema,2023-2024,28610847.46520766,18000000.0,10610847.465207659,58.949152584486995
